,businesscasual,TOP_RGB,BOTTOM_RGB,path
366,,"(31, 25, 18)","(29, 26, 22)",businesscasual_images/7_17.webp
367,,"(56, 51, 45)","(46, 42, 40)",businesscasual_images/7_18.webp
368,,"(36, 28, 19)","(42, 34, 24)",businesscasual_images/7_19.webp
369,,"(74, 67, 65)","(51, 44, 37)",businesscasual_images/7_20.webp
370,,"(67, 63, 70)","(51, 46, 43)",businesscasual_images/7_21.webp
371,,"(48, 43, 36)","(75, 71, 70)",businesscasual_images/7_22.webp
372,,"(61, 59, 45)","(63, 51, 39)",businesscasual_images/7_23.webp
373,,"(57, 32, 19)","(81, 57, 40)",businesscasual_images/7_24.webp
374,,"(162, 161, 151)","(132, 128, 119)",businesscasual_images/7_25.webp
375,,"(177, 176, 175)","(140, 139, 146)",businesscasual_images/7_26.webp
376,,"(161, 157, 154)","(181, 180, 180)",businesscasual_images/7_27.webp
377,,"(50, 62, 86)","(47, 54, 65)",businesscasual_images/7_28.webp
378,,"(148, 129, 110)","(109, 98, 86)",businesscasual_images/7_29.webp
379,,"(193, 186, 190)",,businesscasual_images/7_30.webp
380,,"(133, 132, 130)","(81, 77, 80)",businesscasual_images/7_31.webp
381,,"(17, 23, 68)","(108, 85, 68)",businesscasual_images/7_32.webp
382,,"(178, 196, 208)",,businesscasual_images/7_33.webp
383,,"(35, 34, 38)","(65, 58, 55)",businesscasual_images/7_34.webp
384,,"(141, 127, 130)","(104, 89, 87)",businesscasual_images/7_35.webp
385,,"(76, 64, 61)","(30, 30, 46)",businesscasual_images/7_36.webp
386,,"(178, 169, 158)","(174, 172, 164)",businesscasual_images/7_37.webp
387,,"(192, 180, 164)",,businesscasual_images/7_38.webp
388,,"(69, 65, 62)","(137, 136, 130)",businesscasual_images/7_39.webp
389,,"(172, 161, 149)",,businesscasual_images/7_40.webp
390,,"(49, 48, 42)","(33, 51, 61)",businesscasual_images/7_42.webp
391,,"(126, 111, 86)","(146, 132, 113)",businesscasual_images/7_43.webp
392,,"(54, 53, 58)","(66, 63, 64)",businesscasual_images/7_44.webp
393,,"(149, 147, 147)",,businesscasual_images/7_45.webp
394,,"(110, 110, 115)","(104, 101, 102)",businesscasual_images/7_46.webp
395,,"(131, 116, 105)","(55, 48, 42)",businesscasual_images/7_47.webp
396,,"(49, 50, 67)","(67, 58, 55)",businesscasual_images/7_48.webp
397,,"(40, 39, 47)","(96, 95, 100)",businesscasual_images/7_49.webp
398,,"(46, 32, 30)","(56, 40, 36)",businesscasual_images/7_50.webp
399,,"(48, 45, 50)","(83, 77, 78)",businesscasual_images/7_51.webp
400,,"(130, 103, 85)","(120, 97, 85)",businesscasual_images/7_52.webp
401,,"(157, 159, 162)","(89, 97, 109)",businesscasual_images/7_53.webp
402,,"(88, 88, 89)","(41, 39, 45)",businesscasual_images/7_55.webp
403,,"(79, 91, 82)","(103, 105, 101)",businesscasual_images/7_56.webp
404,,"(59, 61, 65)","(59, 59, 62)",businesscasual_images/7_57.webp
405,,"(138, 115, 99)",,businesscasual_images/7_58.webp
406,,"(42, 39, 39)","(20, 14, 16)",businesscasual_images/7_59.webp
407,,"(107, 103, 103)","(154, 141, 127)",businesscasual_images/8_0.webp
408,,"(81, 78, 82)","(67, 65, 71)",businesscasual_images/8_1.webp
409,,"(119, 64, 56)","(96, 85, 96)",businesscasual_images/8_2.webp
410,,"(30, 36, 43)","(116, 119, 120)",businesscasual_images/8_3.webp
411,,"(133, 135, 140)","(127, 130, 135)",businesscasual_images/8_4.webp
412,,"(113, 95, 89)","(100, 85, 81)",businesscasual_images/8_5.webp
413,,"(71, 74, 82)",,businesscasual_images/8_6.webp
414,,"(78, 84, 100)","(203, 185, 155)",businesscasual_images/8_7.webp
415,,"(122, 113, 102)","(169, 51, 58)",businesscasual_images/8_8.webp
416,,"(32, 35, 44)","(92, 92, 92)",businesscasual_images/8_9.webp
417,,"(73, 71, 84)","(149, 146, 152)",businesscasual_images/8_10.webp
418,,"(63, 55, 47)",,businesscasual_images/8_11.webp
419,,"(86, 75, 64)","(62, 56, 44)",businesscasual_images/8_12.webp
420,,"(77, 52, 50)","(114, 87, 82)",businesscasual_images/8_13.webp
421,,"(33, 31, 35)",,businesscasual_images/8_14.webp
422,,"(33, 32, 31)","(39, 36, 32)",businesscasual_images/8_15.webp
423,,"(126, 102, 78)","(80, 55, 39)",businesscasual_images/8_16.webp
424,,"(36, 36, 36)","(27, 28, 32)",businesscasual_images/8_17.webp
425,,"(61, 60, 66)","(52, 54, 70)",businesscasual_images/8_18.webp
426,,"(173, 152, 135)","(175, 155, 137)",businesscasual_images/8_19.webp
427,,"(99, 102, 103)","(91, 92, 90)",businesscasual_images/8_20.webp
428,,"(46, 37, 44)",,businesscasual_images/8_21.webp
429,,"(72, 72, 70)","(69, 67, 61)",businesscasual_images/8_22.webp
430,,"(97, 80, 68)","(106, 82, 67)",businesscasual_images/8_23.webp
431,,"(99, 100, 106)","(57, 62, 68)",businesscasual_images/8_24.webp
432,,"(27, 22, 25)","(68, 64, 66)",businesscasual_images/8_25.webp
433,,"(54, 42, 37)",,businesscasual_images/8_26.webp
434,,"(12, 15, 21)",,businesscasual_images/8_27.webp
435,,"(76, 74, 79)","(85, 91, 102)",businesscasual_images/8_28.webp
436,,"(95, 97, 103)","(145, 143, 140)",businesscasual_images/8_29.webp
437,,"(65, 69, 67)","(127, 143, 141)",businesscasual_images/8_30.webp
438,,"(113, 76, 89)","(55, 18, 29)",businesscasual_images/8_31.webp
439,,"(27, 28, 35)","(75, 74, 84)",businesscasual_images/8_32.webp
440,,"(146, 145, 152)","(58, 60, 74)",businesscasual_images/8_33.webp
441,,"(26, 30, 35)","(31, 36, 41)",businesscasual_images/8_34.webp
442,,"(62, 67, 68)","(151, 169, 172)",businesscasual_images/8_35.webp
443,,"(55, 73, 97)","(80, 88, 105)",businesscasual_images/8_36.webp
444,,"(24, 24, 29)","(37, 37, 39)",businesscasual_images/8_37.webp
445,,"(172, 160, 154)",,businesscasual_images/8_38.webp
446,,"(127, 130, 132)","(76, 82, 94)",businesscasual_images/8_39.webp
447,,"(106, 84, 66)","(135, 132, 112)",businesscasual_images/8_40.webp
448,,"(160, 133, 113)","(101, 62, 43)",businesscasual_images/8_41.webp
449,,"(201, 204, 204)","(140, 137, 129)",businesscasual_images/8_42.webp
450,,"(122, 128, 152)","(67, 63, 65)",businesscasual_images/8_43.webp
451,,"(215, 29, 17)","(162, 30, 22)",businesscasual_images/8_44.webp
452,,"(87, 84, 81)","(81, 82, 86)",businesscasual_images/8_45.webp
453,,"(75, 69, 70)","(85, 80, 80)",businesscasual_images/8_47.webp
454,,"(107, 104, 107)","(83, 84, 95)",businesscasual_images/8_48.webp
455,,"(36, 44, 54)","(62, 69, 80)",businesscasual_images/8_49.webp
456,,"(110, 101, 86)","(201, 200, 204)",businesscasual_images/8_50.webp
457,,"(68, 52, 43)","(88, 75, 66)",businesscasual_images/8_51.webp
458,,"(173, 178, 184)","(196, 190, 190)",businesscasual_images/8_52.webp
459,,"(100, 100, 106)","(121, 120, 123)",businesscasual_images/8_53.webp
460,,"(145, 128, 113)","(163, 149, 134)",businesscasual_images/8_54.webp
461,,"(99, 86, 80)","(54, 48, 44)",businesscasual_images/8_55.webp
462,,"(109, 103, 99)","(55, 48, 46)",businesscasual_images/8_56.webp
463,,"(25, 29, 33)",,businesscasual_images/8_57.webp
464,,"(53, 53, 57)","(156, 152, 151)",businesscasual_images/8_58.webp
465,,"(90, 66, 51)","(55, 48, 43)",businesscasual_images/8_59.webp
466,,"(55, 58, 68)","(58, 58, 61)",businesscasual_images/9_0.webp
467,,"(179, 150, 124)","(180, 154, 128)",businesscasual_images/9_1.webp
468,,"(91, 90, 84)","(138, 131, 115)",businesscasual_images/9_2.webp
469,,"(141, 145, 136)","(172, 169, 156)",businesscasual_images/9_3.webp
470,,"(140, 130, 117)","(87, 76, 65)",businesscasual_images/9_4.webp
471,,"(153, 132, 115)","(76, 88, 95)",businesscasual_images/9_5.webp
472,,"(51, 48, 52)",,businesscasual_images/9_6.webp
473,,"(94, 75, 74)","(57, 80, 97)",businesscasual_images/9_7.webp
474,,"(140, 140, 146)","(58, 62, 69)",businesscasual_images/9_8.webp
475,,"(38, 41, 47)","(24, 24, 29)",businesscasual_images/9_10.webp
476,,"(66, 67, 70)",,businesscasual_images/9_11.webp
477,,"(29, 30, 37)","(11, 12, 22)",businesscasual_images/9_13.webp
478,,"(63, 66, 75)","(51, 50, 50)",businesscasual_images/9_14.webp
479,,"(121, 121, 125)","(107, 113, 120)",businesscasual_images/9_15.webp
480,,"(20, 99, 145)","(32, 84, 118)",businesscasual_images/9_16.webp
481,,"(127, 107, 96)","(74, 69, 70)",businesscasual_images/9_17.webp
482,,"(182, 158, 150)",,businesscasual_images/9_18.webp
483,,"(163, 163, 166)",,businesscasual_images/9_19.webp
484,,"(33, 31, 37)","(69, 75, 81)",businesscasual_images/9_20.webp
485,,"(54, 52, 49)","(84, 83, 81)",businesscasual_images/9_21.webp
486,,"(68, 64, 62)","(51, 50, 50)",businesscasual_images/9_22.webp
487,,"(38, 35, 40)","(51, 51, 62)",businesscasual_images/9_23.webp
488,,"(53, 52, 53)","(72, 71, 69)",businesscasual_images/9_24.webp
489,,"(80, 74, 67)",,businesscasual_images/9_25.webp
490,,"(38, 46, 60)","(66, 70, 78)",businesscasual_images/9_26.webp
491,,"(93, 90, 87)","(100, 94, 89)",businesscasual_images/9_27.webp
492,,"(77, 76, 76)","(83, 92, 103)",businesscasual_images/9_28.webp
493,,"(143, 99, 64)","(59, 53, 48)",businesscasual_images/9_29.webp
494,,"(34, 56, 65)","(30, 42, 53)",businesscasual_images/9_31.webp
495,,"(77, 87, 81)","(34, 31, 46)",businesscasual_images/9_32.webp
496,,"(108, 87, 78)","(45, 41, 39)",businesscasual_images/9_34.webp
497,,"(48, 32, 34)","(94, 85, 86)",businesscasual_images/9_36.webp
498,,"(49, 47, 50)","(51, 49, 54)",businesscasual_images/9_37.webp
499,,"(38, 42, 50)","(48, 49, 54)",businesscasual_images/9_38.webp
500,,"(57, 52, 38)","(53, 47, 34)",businesscasual_images/9_39.webp
501,,"(113, 111, 112)",,businesscasual_images/9_40.webp
502,,"(33, 44, 26)","(50, 81, 60)",businesscasual_images/9_41.webp
503,,"(53, 55, 63)","(45, 46, 50)",businesscasual_images/9_42.webp
504,,"(84, 86, 94)","(37, 40, 55)",businesscasual_images/9_43.webp
505,,"(88, 78, 82)","(40, 53, 67)",businesscasual_images/9_44.webp
506,,"(89, 76, 74)","(52, 45, 40)",businesscasual_images/9_45.webp
507,,"(32, 49, 67)","(62, 93, 117)",businesscasual_images/9_46.webp
508,,"(158, 164, 173)",,businesscasual_images/9_47.webp
509,,"(150, 101, 94)","(146, 155, 159)",businesscasual_images/9_48.webp
510,,"(155, 157, 172)","(114, 113, 119)",businesscasual_images/9_49.webp
511,,"(166, 144, 122)","(80, 92, 84)",businesscasual_images/9_50.webp
512,,"(133, 143, 130)","(88, 64, 50)",businesscasual_images/9_51.webp
513,,"(27, 35, 45)","(22, 25, 31)",businesscasual_images/9_52.webp
514,,"(191, 189, 198)","(169, 165, 167)",businesscasual_images/9_53.webp
515,,"(69, 66, 70)","(37, 39, 46)",businesscasual_images/9_54.webp
516,,"(96, 83, 70)","(87, 70, 61)",businesscasual_images/9_55.webp
517,,"(41, 46, 55)","(46, 21, 41)",businesscasual_images/9_56.webp
518,,"(239, 107, 83)","(141, 147, 154)",businesscasual_images/9_57.webp
519,,"(78, 82, 100)","(81, 89, 114)",businesscasual_images/9_58.webp
520,,"(29, 33, 48)","(23, 30, 42)",businesscasual_images/9_59.webp
521,,"(29, 33, 48)","(23, 30, 42)",businesscasual_images/10_0.webp
522,,"(172, 135, 82)","(99, 68, 56)",businesscasual_images/10_1.webp
523,,"(19, 24, 31)",,businesscasual_images/10_2.webp
524,,"(39, 40, 48)","(51, 50, 55)",businesscasual_images/10_3.webp
525,,"(86, 93, 85)","(56, 35, 35)",businesscasual_images/10_4.webp
526,,"(40, 51, 90)","(93, 109, 131)",businesscasual_images/10_5.webp
527,,"(76, 66, 55)","(91, 83, 75)",businesscasual_images/10_6.webp
528,,"(151, 119, 86)","(34, 26, 21)",businesscasual_images/10_7.webp
529,,"(92, 98, 104)","(130, 112, 101)",businesscasual_images/10_9.webp
530,,"(64, 77, 112)","(26, 35, 70)",businesscasual_images/10_10.webp
531,,"(52, 35, 37)","(20, 47, 67)",businesscasual_images/10_11.webp
532,,"(54, 49, 41)","(38, 44, 37)",businesscasual_images/10_12.webp
533,,"(93, 90, 89)","(146, 128, 116)",businesscasual_images/10_13.webp
534,,"(133, 110, 107)","(141, 103, 93)",businesscasual_images/10_14.webp
535,,"(132, 96, 74)","(190, 49, 50)",businesscasual_images/10_15.webp
536,,"(30, 32, 37)","(100, 95, 93)",businesscasual_images/10_16.webp
537,,"(73, 81, 75)","(67, 71, 69)",businesscasual_images/10_17.webp
538,,"(48, 41, 35)","(41, 37, 34)",businesscasual_images/10_18.webp
539,,"(98, 97, 102)",,businesscasual_images/10_19.webp
540,,"(115, 94, 80)","(63, 61, 60)",businesscasual_images/10_20.webp
541,,"(188, 176, 168)","(176, 163, 153)",businesscasual_images/10_21.webp
542,,"(91, 93, 92)","(88, 90, 89)",businesscasual_images/10_22.webp
543,,"(35, 42, 49)","(89, 91, 91)",businesscasual_images/10_23.webp
544,,"(72, 80, 89)","(91, 99, 109)",businesscasual_images/10_24.webp
545,,"(27, 31, 42)","(28, 27, 33)",businesscasual_images/10_25.webp
546,,"(90, 84, 89)","(191, 181, 177)",businesscasual_images/10_26.webp
547,,"(99, 87, 80)",,businesscasual_images/10_27.webp
548,,"(133, 113, 98)","(110, 73, 73)",businesscasual_images/10_28.webp
549,,"(120, 114, 113)","(117, 114, 115)",businesscasual_images/10_29.webp
550,,"(167, 168, 182)","(53, 55, 68)",businesscasual_images/10_30.webp
551,,"(52, 35, 37)","(20, 47, 67)",businesscasual_images/10_31.webp
552,,"(61, 71, 92)","(104, 109, 115)",businesscasual_images/10_32.webp
553,,"(154, 150, 155)","(156, 153, 160)",businesscasual_images/10_33.webp
554,,"(136, 52, 52)","(55, 54, 57)",businesscasual_images/10_34.webp
555,,"(49, 51, 53)","(81, 84, 89)",businesscasual_images/10_35.webp
556,,"(104, 113, 108)","(164, 162, 142)",businesscasual_images/10_36.webp
557,,"(155, 160, 153)","(186, 165, 151)",businesscasual_images/10_37.webp
558,,"(192, 187, 177)","(175, 169, 158)",businesscasual_images/10_38.webp
559,,"(208, 196, 178)","(145, 139, 128)",businesscasual_images/10_39.webp
560,,"(67, 73, 76)","(181, 50, 116)",businesscasual_images/10_40.webp
561,,"(135, 140, 122)","(73, 74, 79)",businesscasual_images/10_41.webp
562,,"(66, 61, 66)","(170, 157, 153)",businesscasual_images/10_42.webp
563,,"(89, 51, 56)",,businesscasual_images/10_43.webp
564,,"(141, 132, 131)","(91, 80, 78)",businesscasual_images/10_44.webp
565,,"(172, 169, 164)","(186, 140, 114)",businesscasual_images/10_45.webp
566,,"(45, 44, 45)","(78, 58, 53)",businesscasual_images/10_46.webp
567,,"(80, 71, 67)",,businesscasual_images/10_47.webp
568,,"(95, 92, 93)","(47, 49, 53)",businesscasual_images/10_48.webp
569,,"(97, 100, 107)","(94, 100, 108)",businesscasual_images/10_49.webp
570,,"(157, 153, 155)","(52, 57, 60)",businesscasual_images/10_51.webp
571,,"(147, 147, 149)",,businesscasual_images/10_52.webp
572,,"(148, 137, 127)","(65, 63, 68)",businesscasual_images/10_53.webp
573,,"(203, 204, 215)","(90, 89, 94)",businesscasual_images/10_54.webp
574,,"(28, 24, 26)","(35, 29, 25)",businesscasual_images/10_55.webp
575,,"(30, 31, 35)","(26, 19, 23)",businesscasual_images/10_56.webp
576,,"(117, 125, 139)","(47, 57, 77)",businesscasual_images/10_57.webp
577,,"(46, 50, 63)","(37, 45, 46)",businesscasual_images/10_58.webp
578,,"(64, 60, 62)","(135, 130, 133)",businesscasual_images/10_59.webp
